Sleep
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed
"01-04-2016","372","29","16","401"
"02-04-2016","266","28","11","294"
"03-04-2016","282","34","21","316"
"04-04-2016","0","0","0","0"
"05-04-2016","221","34","14","255"
"06-04-2016","0","0","0","0"
"07-04-2016","242","25","10","267"
"08-04-2016","351","17","13","368"
"09-04-2016","289","27","16","316"
"10-04-2016","291","18","10","309"
"11-04-2016","0","0","0","0"
"12-04-2016","0","0","0","0"
"13-04-2016","0","0","0","0"
"14-04-2016","0","0","0","0"
"15-04-2016","0","0","0","0"
"16-04-2016","0","0","0","0"
"17-04-2016","405","45","24","450"
"18-04-2016","242","18","13","260"
"19-04-2016","187","22","13","209"
"20-04-2016","333","42","32","375"
"21-04-2016","238","25","14","263"
"22-04-2016","204","24","15","235"
"23-04-2016","233","22","9","255"
"24-04-2016","57","8","4","65"
"25-04-2016","528","23","14","551"
"26-04-2016","209","29","10","238"
"27-04-2016","618","17","16","638"
"28-04-2016","198","19","7","217"
"29-04-2016","0","0","0","0"
"30-04-2016","0","0","0","0"
"01-05-2016","590","29","12","619"

